Title,Author,Date,Category,Code,Period
Mercedario bailando zamacueca,Pancho Fierro,1836,Pintura,2015.21.9,Republicano
Negros chalas en el día del Corpus,Pancho Fierro,1836,Pintura,2015.21.11,Republicano
Señoritas yendo a tomar frescos a las seis de la mañana a Chorrillos,Pancho Fierro,1836,Pintura,2015.21.12,Republicano
Vendedora de butifarras y aguardiente en la lidia de toros,Pancho Fierro,1836,Pintura,2015.21.8,Republicano
"Carta de hermandad de la cofradía de Nuestra Señora de la Caridad, fundada en el hospital de mujeres de Lima",,1837,Grabado,2014.14.2,Republicano
Genealogía de los incas,Marcos Chillitupa Chávez,1837,Pintura,2015.44.1a-l,Republicano
Pareja bailando zamacueca,Pancho Fierro,1837,Pintura,2015.21.13,Republicano
Fraile franciscano,Pancho Fierro,1838,Pintura,2015.21.15,Republicano
Indio de Chorrillos en un día de fiesta con su balandrán o poncho de gala,Pancho Fierro,1838,Pintura,2015.21.14,Republicano
Mujer huanca de Jauja acariciando cerdo,Francisco Javier Cortés,1838,Pintura,2015.21.50,Republicano
"Carta de hermandad de la cofradía de Jesús, María y José, fundada en el monasterio de Capuchinas de Lima",Imprenta de Vicente Herrera,1840,Grabado,2019.23.1,Republicano
Retrato de hombre,Johann Moritz Rugendas,1843,Dibujo,2019.24.1,Republicano
George Hellmann ante un paisaje de Tacna,Johann Moritz Rugendas,1844,Pintura,2015.5.1,Republicano
"La matanza de Quíos, según Eugène Delacroix",Francisco Laso de los Ríos,1844,Pintura,V-2.0-0482,Republicano
Virgen de la Merced con el Niño Jesús y el donante Tineo,"Anónimo - Quito, Ecuador",1844,Pintura,2014.5.1,Republicano
Hombre con burro,Ignacio Merino,1845,Dibujo,2010.18.3,Republicano
"La cena de Emaús, según Paolo Veronese",Francisco Laso de los Ríos,1845,Pintura,V-2.0-0223,Republicano
Orfeo atacado por las bacantes,Francisco Laso de los Ríos,1845,Pintura,V-2.0-0222,Republicano
"Apunte de 'Edipo ante la esfinge', según Jean Auguste Dominique Ingres",Francisco Laso de los Ríos,1846,Dibujo,V-2.0-0997a-b,Republicano
"Los santos Marcelino y Marceliano conducidos al martirio, según Paolo Veronese",Francisco Laso de los Ríos,1847,Pintura,V-2.0-0205,Republicano
"Santa Cristina instigada a adorar a los ídolos, según Paolo Veronese",Francisco Laso de los Ríos,1847,Pintura,1960.5.199,Republicano
Autorretrato,Francisco Laso de los Ríos,1849,Dibujo,V-2.0-0412,Republicano
Estudio para 'La hilandera',Francisco Laso de los Ríos,1849,Dibujo,V-2.0-1076,Republicano
Mujer indígena con manta,Francisco Laso de los Ríos,1849,Dibujo,V-2.0-1008,Republicano
La hilandera,Francisco Laso de los Ríos,1849,Pintura,1986.1.10,Republicano
Mujer y sirvienta en interior arequipeño,Francisco Laso de los Ríos,1849,Pintura,V-2.0-1103,Republicano
Alfombra dedicada a Dominga Maren,Anónimo cuzqueño,1849,Textil,V-2.8-0025,Republicano
Alfombra,Anónimo cuzqueño,1850,Textil,V-2.8-0024,Republicano
Mujeres de Lima,Imprenta Delmain,1851,Grabado,2019.52.1,Republicano
Retrato de hombre,,1852,Pintura,2022.10.1,Republicano
Agustín López,Ildefonso Páez,1853,Pintura,2018.13.2,Republicano
Micaela Vilela de López,Ildefonso Páez,1853,Pintura,2018.13.1,Republicano
Carolina Gutiérrez de la Fuente,Pablo Petrovits,1854,Pintura,2000.7.2,Republicano
¡¡Rompe estas cadenas!! Levanta al indígena de la postración!! ¡¡Conquistemos la inmortalidad!!. Serie Adefecios,León Williez,1855,Grabado,2009.2.17,Republicano
¡Qué mamada!!! Serie Adefecios,León Williez,1855,Grabado,2009.2.7,Republicano
"¡Si se para, le vuelvo a dar cuerda!! Serie Adefecios",León Williez,1855,Grabado,2009.2.9,Republicano
Audaces fortuna iuvat. Serie Adefecios,León Williez,1855,Grabado,2009.2.6,Republicano
Derecho de asilo en práctica. Serie Adefecios,León Williez,1855,Grabado,2009.2.23,Republicano
Don Quijote y Sancho Panza. La rebelión. Serie Adefecios,León Williez,1855,Grabado,2009.2.10,Republicano
El hombre de luces y principios. Serie Adefecios,León Williez,1855,Grabado,2009.2.13,Republicano
El hombre de muelles. Serie Adefecios,León Williez,1855,Grabado,2009.2.16,Republicano
El volatín y los payazos están suspensos del ejercicio de la ciudadanía. Serie Adefecios,León Williez,1855,Grabado,2009.2.19,Republicano
Exposición de los motivos que he tenido para no tomar parte en la actual guerra civil / Un programa descubierto. Serie Adefecios,León Williez,1855,Grabado,2009.2.14,Republicano
Firme Ud. el conocimiento y zarpe. Serie Adefecios,León Williez,1855,Grabado,2009.2.2,Republicano
Gratitud de los gallinazos. Serie Adefecios,León Williez,1855,Grabado,2009.2.1,Republicano
Harán mi talento y maña. Serie Adefecios,León Williez,1855,Grabado,2009.2.5,Republicano
La pena del talión. Serie Adefecios,León Williez,1855,Grabado,2009.2.20,Republicano
La temporada en Chorrillos. Serie Adefecios,León Williez,1855,Grabado,2009.2.3,Republicano
Libre ejercicio de la ciudadanía. Serie Adefecios,León Williez,1855,Grabado,2009.2.21,Republicano
Llamada de la Convención. Serie Adefecios,León Williez,1855,Grabado,2009.2.18,Republicano
Ministro a Béljica!!!!! No! No! No! A Jauja! A vencer o morir conmigo!. Serie Adefecios,León Williez,1855,Grabado,2009.2.4,Republicano
Pesando los hombres públicos. Serie Adefecios,León Williez,1855,Grabado,2009.2.12,Republicano
Presento a V. E. este huerfanito... Serie Adefecios,León Williez,1855,Grabado,2009.2.15,Republicano
Reforma del Poder Judicial. Serie Adefecios,León Williez,1855,Grabado,2009.2.22,Republicano
Represalias. Serie Adefecios,León Williez,1855,Grabado,2009.2.11,Republicano
Señores!!!! No soy ladrón de camino real... Serie Adefecios,León Williez,1855,Grabado,2009.2.8,Republicano
José Antonio Baca,Ildefonso Páez,1855,Pintura,1990.4.1,Republicano
Miguel Espinosa de los Monteros,Rafael Salas,1856,Dibujo,2018.16.1,Republicano
Adoración de la cruz por santo franciscano,Anónimo - Bolivia,1856,Pintura,2012.22.47,Republicano
Francisco Deza Verástegui,Ildefonso Páez,1856,Pintura,V-2.0-0720,Republicano
Estudio para 'San Juan Evangelista',Francisco Laso de los Ríos,1857,Dibujo,V-2.0-1054,Republicano
Estudio para 'San Mateo Evangelista',Francisco Laso de los Ríos,1857,Dibujo,V-2.0-1040,Republicano
Chorrillos,André Auguste Bonnaffé,1857,Grabado,2010.6.5,Republicano
El aguador,André Auguste Bonnaffé,1857,Grabado,2010.6.9,Republicano
El arriero,André Auguste Bonnaffé,1857,Grabado,2010.6.2,Republicano
El capeador,André Auguste Bonnaffé,1857,Grabado,2010.6.11,Republicano
El panadero,André Auguste Bonnaffé,1857,Grabado,2010.6.4,Republicano
El velero,André Auguste Bonnaffé,1857,Grabado,2010.6.8,Republicano
La caleza,André Auguste Bonnaffé,1857,Grabado,2010.6.12,Republicano
La chichera,André Auguste Bonnaffé,1857,Grabado,2010.6.7,Republicano
La lechera,André Auguste Bonnaffé,1857,Grabado,2010.6.10,Republicano
La plazera,André Auguste Bonnaffé,1857,Grabado,2010.6.3,Republicano
La zamacueca,André Auguste Bonnaffé,1857,Grabado,2010.6.1,Republicano
La zamba,André Auguste Bonnaffé,1857,Grabado,2010.6.6,Republicano
Manuela Henríquez de Laso,Francisco Laso de los Ríos,1858,Pintura,V-2.0-0196,Republicano
Ignacio Lecca Taboada,Luis Montero,1859,Pintura,1975.1.1,Republicano
La lavandera,Francisco Laso de los Ríos,1859,Pintura,1978.4.12,Republicano
Cervantes leyendo el manuscrito de Don Quijote de la Mancha,Ignacio Merino,1861,Pintura,1960.5.108,Republicano
Mercedes Diez Canseco de Yrigoyen,Luis Montero,1861,Pintura,V-2.0-1179,Republicano
Leandra Raygada en disfraz de tapada,Pedro Emilio Garreaud,1862,Fotografía,2019.46.1,Republicano
Miguel Grau,Pedro Emilio Garreaud,1862,Fotografía,2019.46.2,Republicano
"Retrato de niña, posiblemente Angélica Bustamante y Zabala",Anónimo,1862,Fotografía,2013.29.7,Republicano
Carlota Raygada,Eugène Maunoury,1863,Fotografía,2022.12.1,Republicano
"Tahia-Ka-Hampu, reine de Va Pou, femme de Ritozo",Eugène Maunoury,1863,Fotografía,2014.9.9,Republicano
Manuela Henríquez de Laso,Francisco Laso de los Ríos,1863,Pintura,V-2.0-0225,Republicano
El Bolívar del 64,Eugène Maunoury,1864,Fotografía,2013.29.5,Republicano
María Manuela de Noriega e hijo,Jorge Bucliu,1864,Fotografía,2013.29.19,Republicano
Mariano Aguirre,Juan de la Cruz Palomino,1864,Fotografía,2004.1.1,Republicano
Boceto para 'La Unión Americana',Francisco Laso de los Ríos,1864,Pintura,2016.7.3,Republicano
Virgen del Patrocinio de Tarata,Anónimo - Bolivia,1864,Pintura,2017.47.1,Republicano
"Ataque a Palacio de Gobierno, el 6 de noviembre de 1865",Villroy L. Richardson,1865,Fotografía,2014.40.2,Republicano
Alegoría de la Unión Americana,Mariano Florentino Olivares,1865,Pintura,2014.23.1,Republicano
Bodegón,Juan de Dios Ingunza,1866,Pintura,V-2.0-0704,Republicano
"Calle de Plateros, México",Anónimo,1867,Fotografía,1996.5.23,Republicano
"Casa de Gobierno, México",Anónimo,1867,Fotografía,1996.5.25,Republicano
Catedral de México,Anónimo,1867,Fotografía,1996.5.24,Republicano
Celebración de la victoria de Benito Juárez en la Plaza de México,François Aubert,1867,Fotografía,1996.5.22,Republicano
"Convento de San Francisco, México",Anónimo,1867,Fotografía,1996.5.28,Republicano
Ingreso de las tropas de Juárez a la ciudad de México,Anónimo,1867,Fotografía,1996.5.27,Republicano
"Mazatlán, México",Anónimo,1867,Fotografía,1996.5.29,Republicano
Vista de México,Anónimo,1867,Fotografía,1996.5.26,Republicano
Los funerales de Atahualpa,Luis Montero,1867,Pintura,1959.00.1.1,Republicano
Arequipa después del terremoto,Anónimo,1868,Fotografía,1996.5.136,Republicano
Arequipa después del terremoto de 1868,Anónimo,1868,Fotografía,1996.5.135,Republicano
Arequipa después del terremoto de 1868,Villroy L. Richardson,1868,Fotografía,2020.13.1,Republicano
Arequipa después del terremoto de 1868,Villroy L. Richardson,1868,Fotografía,2020.13.2,Republicano
Arequipa después del terremoto de 1868,Villroy L. Richardson,1868,Fotografía,2020.13.3,Republicano
"Arequipa, interior de Santo Domingo después del terremoto",Anónimo,1868,Fotografía,1996.5.45,Republicano
Arica después del terremoto,Ricardo Villaalba,1868,Fotografía,1996.5.10,Republicano
Arica después del terremoto,Ricardo Villaalba,1868,Fotografía,1996.5.11,Republicano
Arica después del terremoto,Ricardo Villaalba,1868,Fotografía,1996.5.12,Republicano
Arica después del terremoto,Ricardo Villaalba,1868,Fotografía,1996.5.13,Republicano
Arica después del terremoto,Ricardo Villaalba,1868,Fotografía,1996.5.14,Republicano
Estudio de llamas para la Pascana,Francisco Laso de los Ríos,1868,Pintura,V-2.0-0210,Republicano
Nevado de Magallanes,Anónimo,1869,Fotografía,1996.5.30,Republicano
"Jardín de una casa burguesa, Lima",Estudio Courret,1870,Fotografía,2019.45.1,Republicano
Ferrocarril Central Trasandino. Sección del Callao a La Oroya,Charles E. Bryant,1870,Metales,1959.12.8,Republicano
Fachada del Palacio de la Exposición,Estudio Courret,1871,Fotografía,1992.13.12,Republicano
Fachada lateral derecha del Palacio de la Exposición. Álbum Exposición de Lima.,Estudio Courret,1871,Fotografía,1992.12.6,Republicano
Fachada lateral izquierda del Palacio de la Exposición. Álbum Exposición de Lima.,Estudio Courret,1871,Fotografía,1992.12.5,Republicano
Kiosko del Presidente en el Parque de la Exposición. Álbum Exposición de Lima.,Estudio Courret,1871,Fotografía,1992.12.7,Republicano
América o Genio del progreso,Nicolás Young,1872,Escultura,1964.00.1.1,Republicano
Augusta del Mar y Macedo con sus hijos,Luis Alviña,1872,Fotografía,2013.29.8,Republicano
Gran Salón Presidencial en los altos del Palacio de la Exposición,Estudio Courret,1872,Fotografía,1992.13.41,Republicano
Jardines del Parque de la Exposición,Estudio Courret,1872,Fotografía,1992.13.10,Republicano
Kiosko del Presidente en el Parque de la Exposición. Álbum Exposición de Lima.,Estudio Courret,1872,Fotografía,1992.12.12,Republicano
Máquinas de coser en los bajos del Palacio de la Exposición,Estudio Courret,1872,Fotografía,1992.13.36,Republicano
Salita Presidencial en los altos del Palacio de la Exposición,Estudio Courret,1872,Fotografía,1992.13.42,Republicano
Salón Chino en los altos del Palacio de la Exposición,Estudio Courret,1872,Fotografía,1992.13.44,Republicano
"Salón Presidencial, decorado con tapicería de Aubusson, en los altos del Palacio de la Exposición",Estudio Courret,1872,Fotografía,1992.13.43,Republicano
Vestíbulo y pila del Palacio de la Exposición,Estudio Courret,1872,Fotografía,1992.13.40,Republicano
La dama del abanico,Federico Torrico,1872,Pintura,V-2.0-1101,Republicano
La inocencia perdida,Juan Manuel Anda,1872,Pintura,2019.25.1,Republicano
"Elvira Derteano de Krüguer, en disfraz para el baile del Club Nacional",Estudio Courret,1873,Fotografía,2019.40.2,Republicano
"Eugenia Noble de Freundt, en disfraz de dama rusa para el baile del Club Nacional",Estudio Courret,1873,Fotografía,2019.40.1,Republicano
"Justiniano de Zubiría, según caricaturista francés",Charles Reutlinger,1873,Fotografía,2015.9.3,Republicano
"Rosa Elguera de Laos, en disfraz de Ana de Austria para el baile del Club Nacional",Estudio Courret,1873,Fotografía,2019.40.3,Republicano
Limosnero,Anónimo,1873,Metales,2014.54.58,Republicano
Fanny Meiggs de Valle Riestra,Julián Oñate,1875,Pintura,1965.3.1,Republicano
José María Lastres y Martínez,Francisco Masías,1875,Pintura,V-2.0-0258,Republicano
Un hidalgo,Ignacio Merino,1875,Pintura,V-2.0-0394,Republicano
"Calle principal del Comercio de Aplao, provincia de Majes",Manuel Ugalde,1876,Dibujo,1999.4.31,Republicano
Cordillera de Ausangate del pueblo de Yancae,Manuel Ugalde,1876,Dibujo,1999.4.35,Republicano
"Estructura característica de las costas orientales del Perú, desde la región elevada. Vista de los valles de Paucartambo al cerro de Piñiñipiñi i la hoya del Madre de Dios",Manuel Ugalde,1876,Dibujo,1999.4.29,Republicano
Gallinero de chunchos,H. Garnier,1876,Dibujo,1999.4.17,Republicano
Paisaje,H. Garnier,1876,Dibujo,1999.4.24,Republicano
Plaza de Aplao,Manuel Ugalde,1876,Dibujo,1999.4.30,Republicano
Plaza de Santa Rosa i el gran Vilcanota,Manuel Ugalde,1876,Dibujo,1999.4.34,Republicano
Puente de Pachachaca,Manuel Ugalde,1876,Dibujo,1999.4.32,Republicano
Puente i ranchería de Hiscu-chaca en la pampa de Anta (Cusco),Manuel Ugalde,1876,Dibujo,1999.4.33,Republicano
"Residencia del P. Bobo de Revello, i de Ugalde, después de los incendios de Sta. Cruz i de Chaupimayo, i muchos combates con los tuyuniris i huachapayris; vistas de la aguada de San Miguel",Manuel Ugalde,1876,Dibujo,1999.4.38,Republicano
"S. Juan, último establecimiento peruano sobre el río Jaqui. Nevados de Pelechuco en último término",Manuel Ugalde,1876,Dibujo,1999.4.27,Republicano
"Vista al Camanti i San Miguel, punto de partida para el Madre de Dios",Manuel Ugalde,1876,Dibujo,1999.4.39,Republicano
"Vista al mar, de la vanda oriental de Palca, camino a Tacna",Manuel Ugalde,1876,Dibujo,1999.4.26,Republicano
"Vista de los cuarteles para los expedicionarios al Madre de Dios, bajo la dirección del colombiano D. M. Ugalde, en San Miguel, 1852",Manuel Ugalde,1876,Dibujo,1999.4.28,Republicano
"Vista de Zujama, del camino de Bolivia a Tacna - Una posta en plena cordillera",Manuel Ugalde,1876,Dibujo,1999.4.37,Republicano
"Vista del Lago Phanza, su isla i el cerro de Londo, de sobre el célebre Pueblo de Huary. Bolivia",Manuel Ugalde,1876,Dibujo,1999.4.36,Republicano
Bodegón,Cayetano Ayllón,1876,Pintura,V-2.0-0695,Republicano
"Bernardi en la Puerta del Sol, Tiahuanaco",Georges B. von Grumbkow,1877,Fotografía,1996.5.107,Republicano
Doña Magdalena Ugarteche de Prado,Vienot Morriset,1877,Pintura,1960.5.184,Republicano
General Mariano Ignacio Prado,Vienot Morriset,1877,Pintura,1960.5.183,Republicano
Retrato de María S. de Pacheco,Nicolás Palas,1877,Pintura,V-2.0-0173,Republicano
Chifle,Anónimo - Sierra central,1879,Muebles y artes decorativas,2017.54.2,Republicano
Guillermo de la C. Vierau,Rafael Castillo,1880,Fotografía,2013.29.16,Republicano
Estudio de ornamentación,Enrique Jiménez Góngora,1883,Dibujo,2007.6.2,Republicano
Medalla de la Escuela Nacional de Artes Decorativas de París. Primer premio de dibujo otorgado a Enrique Jiménez Góngora,F. Blondelet,1883,Metales,2007.6.4,Republicano
Medalla de la Escuela Nacional de Artes Decorativas de París. Segundo premio de dibujo de figura otorgado a Enrique Jiménez Góngora,F. Blondelet,1883,Metales,2007.6.5,Republicano
La muerte de Pizarro,Ramón Muñíz,1885,Pintura,1992.10.1,Republicano
Academia masculina,Carlos Baca-Flor,1886,Pintura,V-2.0-0982,Republicano
Chañaral,Carlos Baca-Flor,1887,Dibujo,1959.4.253,Republicano
Huasco,Carlos Baca-Flor,1887,Dibujo,1959.4.252a-b,Republicano
Pasajeros del vapor Lapa,Carlos Baca-Flor,1887,Dibujo,1959.4.134,Republicano
Personaje del café Montes,Carlos Baca-Flor,1887,Dibujo,1978.4.49,Republicano
Rosina,Federico del Campo,1887,Pintura,1986.1.27,Republicano
Volverán las oscuras golondrinas,Carlos Baca-Flor,1887,Pintura,1986.1.22,Republicano
"Ilustración para ""Pierre et Jean"", de Guy de Maupassant",Alberto Lynch,1888,Grabado,2021.30.1,Republicano
Personaje del siglo XVIII,"Heudebert de Prevost, Benjamina",1888,Pintura,V-2.0-0080,Republicano
Personaje del siglo XVIII,"Heudebert de Prevost, Benjamina",1888,Pintura,V-2.0-0081,Republicano
"Busto de Ignacio Merino, según Gaspar Ricardo Suárez",Carlos Baca-Flor,1889,Dibujo,1959.4.172,Republicano
"Natalia. Recuerdo del Café de ""Buen Gusto""",Carlos Baca-Flor,1889,Dibujo,1959.4.180,Republicano
Benito Dejo Cavero,Rafael Castillo,1889,Fotografía,2014.7.12,Republicano
Felipe Augusto Bromberg Lazurtegui,Carlos Baca-Flor,1889,Pintura,V-2.0-1110,Republicano
Juana Manuela Laso de Eléspuru,Nicolás Palas,1889,Pintura,2000.2.4,Republicano
Suertero,Carlos Baca-Flor,1890,Dibujo,1959.4.173,Republicano
El velorio del angelito,José Effio,1890,Pintura,1997.8.1,Republicano
Francisco Rosas,Carlos Baca-Flor,1890,Pintura,V-2.0-0750,Republicano
Mujer leyendo,Carlos Baca-Flor,1891,Dibujo,1959.4.141,Republicano
Tabla anatómica 1: esqueleto frontal,Carlos Baca-Flor,1891,Dibujo,1959.4.113,Republicano
Tabla anatómica 2: esqueleto de espaldas,Carlos Baca-Flor,1891,Dibujo,1959.4.115,Republicano
Tablas anatómicas 3 y 4: cráneo y columna vertebral,Carlos Baca-Flor,1891,Dibujo,1959.4.117,Republicano
Tablas anatómicas 5 y 6,Carlos Baca-Flor,1891,Dibujo,1959.4.118,Republicano
"Tablas anatómicas 7, 8, y 9",Carlos Baca-Flor,1891,Dibujo,1959.4.114,Republicano
Academia masculina,Carlos Baca-Flor,1892,Dibujo,1959.4.75,Republicano
Estudio de calco,Carlos Baca-Flor,1892,Dibujo,1959.4.77,Republicano
Jean Racine,Evaristo San Cristóval,1892,Dibujo,V-2.0-0712,Republicano
Carlos Baca-Flor,Miquel Blay i Fábrega,1892,Escultura,1959.4.288,Republicano
Carlos Baca-Flor,Miquel Blay i Fábrega,1892,Escultura,1959.4.322,Republicano
Academia masculina,Carlos Baca-Flor,1892,Pintura,V-2.0-0441,Republicano
Academia femenina,Carlos Baca-Flor,1893,Dibujo,1959.4.268,Republicano
Academia femenina,Carlos Baca-Flor,1893,Dibujo,1959.4.239,Republicano
Academia femenina,Carlos Baca-Flor,1893,Dibujo,1959.4.240,Republicano
Academia masculina,Carlos Baca-Flor,1893,Dibujo,1959.4.230,Republicano
"Julia Falcón de Baca-Flor, madre del pintor",Carlos Baca-Flor,1893,Dibujo,1959.4.178,Republicano
Dominga Muñoz con sus hijos,Anónimo,1894,Fotografía,2014.7.2,Republicano
Escena callejera,Carlos Baca-Flor,1895,Dibujo,1959.4.88,Republicano
Grève des maçons,Carlos Baca-Flor,1895,Dibujo,1959.4.86,Republicano
Grève des maçons,Carlos Baca-Flor,1895,Dibujo,1959.4.87,Republicano
Casa y arboleda,Antonino Espinosa Saldaña,1895,Pintura,2012.6.2,Republicano
Estudio de joven,Carlos Baca-Flor,1895,Pintura,V-2.0-0987,Republicano
La mujer de la tanagra,Carlos Baca-Flor,1896,Pintura,1959.4.305,Republicano
Barco,Antonino Espinosa Saldaña,1898,Dibujo,2012.6.4,Republicano
Emblema del Cuerpo de Ingenieros de Minas,Enrique Jiménez Góngora,1898,Dibujo,2007.6.3,Republicano
Ramo de flores,Antonino Espinosa Saldaña,1898,Dibujo,2012.6.3,Republicano
Autorretrato,Carlos Baca-Flor,1898,Pintura,V-2.0-0286,Republicano
Flores e iniciales del autor,Antonino Espinosa Saldaña,1898,Pintura,2012.6.5,Republicano
Paño de Monsefú,Anónimo,1899,Textil,2024.20.1,Republicano
Mate botella,Anónimo,1900,Orgánico,2022.21.1,Republicano
Mate botella con escenas costumbristas,Anónimo,1900,Orgánico,2019.58.2,Republicano
Aparición,Fernando Zevallos,1900,Pintura,V-2.0-0726,Republicano
Campesino pintor,Juan Lepiani,1902,Dibujo,V-2.0-1464,Republicano
Estudio de fraile pintor,Juan Lepiani,1902,Dibujo,V-2.0-1488,Republicano
Estudio de fraile pintor,Juan Lepiani,1902,Dibujo,V-2.0-1502,Republicano
Estudio de soldado español,Juan Lepiani,1902,Dibujo,V-2.0-1509,Republicano
Retrato de pintora,Juan Lepiani,1902,Dibujo,V-2.0-1510,Republicano
Capa. Traje para escultura de Virgen María,Florián Rodríguez,1903,Metales,2016.41.1,Republicano
Par de mangas. Traje para escultura de Virgen María,Florián Rodríguez,1903,Metales,2016.41.3a-b,Republicano
Pechera. Traje para escultura de Virgen María,Florián Rodríguez,1903,Metales,2016.41.2,Republicano
Estudio de calco,Juan Lepiani,1905,Dibujo,V-2.0-1487,Republicano
Estudio de ornamento arquitectónico,Juan Lepiani,1905,Dibujo,V-2.0-1471,Republicano
